     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
309760622,  17, 32,  1,  1,  0.008,  1, -0.128,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.800, -0.128, -0.048 
                               R12,  1,  3.920, -0.328,  0.016 
                               R20,  1,  4.560, -0.568,  0.088 
                               R21,  1,  3.320, -0.280,  0.008 
                               R22,  1,  6.280, -0.096, -0.008 
309760622,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.600, -0.184, -0.032 
                               R12,  1,  2.880, -0.296,  0.000 
                               R20,  1,  2.440, -0.432,  0.064 
                               R21,  1,  2.480, -0.272, -0.008 
                               R22,  1,  5.960, -0.152, -0.008 
309760622,  22, 56,  1,  1,  0.008,  1, -0.112,  0.003,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.400, -0.128,  0.000 
                               R12,  1,  3.000, -0.272,  0.056 
                               R20,  1,  3.000, -0.456,  0.112 
                               R21,  1,  2.520, -0.240,  0.048 
                               R22,  1,  5.960, -0.144,  0.000 
309760622,  23, 32,  1,  1,  0.008,  1, -0.112,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  4.520, -0.584,  0.096 
                               R11,  1,  5.600,  0.064,  0.032 
                               R12,  1,  3.560, -0.096,  0.048 
                               R20,  1,  3.880, -0.360,  0.064 
                               R21,  1,  3.000, -0.080,  0.032 
                               R22,  1,  6.080, -0.040,  0.008 
309760622,  26, 49,  1,  1,  0.004,  1, -0.048,  0.014, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  4.920, -0.224, -0.024 
                               R12,  1,  2.000, -0.264, -0.008 
                               R20,  1,  1.360, -0.312,  0.016 
                               R21,  1,  1.640, -0.264, -0.008 
                               R22,  1,  5.360, -0.240,  0.008 
309760622,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  1.680, -0.696,  0.160 
                               R11,  1,  5.080, -0.216,  0.104 
                               R12,  1,  2.400, -0.312,  0.152 
                               R20,  1,  1.960, -0.464,  0.152 
                               R21,  1,  2.000, -0.304,  0.128 
                               R22,  1,  5.560, -0.200,  0.064 
309760622,  28, 48,  1,  1,  0.004,  1, -0.104,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  2.680, -0.656,  0.104 
                               R11,  1,  5.840,  0.056,  0.016 
                               R12,  1,  3.160, -0.184,  0.008 
                               R20,  1,  2.720, -0.432,  0.040 
                               R21,  1,  2.720, -0.144,  0.008 
                               R22,  1,  6.120,  0.040,  0.032 
309760622,  30, 30,  1,  1,  0.004,  1, -0.092, -0.008, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.360, -0.112,  0.152 
                               R05,  1,  0.600, -0.536,  0.056 
                               R11,  1,  4.680, -0.280,  0.152 
                               R12,  1,  1.800, -0.344,  0.128 
                               R13,  1,  1.640,  0.144,  0.032 
                               R20,  1,  1.160, -0.312,  0.104 
                               R21,  1,  1.400, -0.336,  0.128 
                               R22,  1,  5.120, -0.240,  0.120 
309760622,  31, 16,  1,  1,  0.004,  1, -0.136, -0.013, -0.006 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.480,  0.040,  0.064 
                               R05,  1,  1.080, -0.512,  0.088 
                               R11,  1,  5.640, -0.152, -0.032 
                               R12,  1,  2.360, -0.336,  0.016 
                               R20,  1,  1.760, -0.264,  0.032 
                               R21,  1,  1.960, -0.328,  0.008 
                               R22,  1,  6.240, -0.032,  0.048 
309760622,  32, 21,  1,  1,  0.000,  1, -0.172, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  2.640,  0.096,  0.056 
                               R05,  1, -0.320,  0.040, -0.032 
                               R11,  1,  3.280, -0.280,  0.024 
                               R12,  1,  0.720, -0.152,  0.000 
                               R13,  1,  1.840,  0.096,  0.040 
                               R20,  1,  0.480, -0.040, -0.016 
                               R21,  1,  0.200, -0.200,  0.000 
                               R22,  1,  3.760, -0.296,  0.040 
309760622,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.320,  0.048,  0.112 
                               R05,  1, -0.400,  0.032,  0.016 
                               R11,  1,  3.640, -0.304,  0.080 
                               R12,  1,  0.920, -0.152,  0.048 
                               R13,  1,  2.120,  0.088,  0.040 
                               R20,  1,  0.640, -0.048,  0.056 
                               R21,  1,  0.400, -0.200,  0.048 
                               R22,  1,  4.280, -0.296,  0.112 
309760622,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.320, -0.176,  0.080 
                               R05,  1, -0.240, -0.200,  0.000 
                               R11,  1,  4.240, -0.640,  0.040 
