     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               G02,  1,  1.520, -0.472,  0.192 
                               G05,  1,  4.600, -0.384,  0.136 
                               G12,  1, 10.800,  0.136,  0.112 
                               G21,  1,  7.160, -0.024,  0.032 
                               G23,  1, -1.360,  0.056,  0.112 
                               G25,  1,  5.680, -0.216,  0.104 
                               G26,  1,  5.920, -0.360,  0.184 
                               G29,  1,  2.040, -0.296,  0.168 
                               G31,  1,  4.560, -0.296,  0.160 
     6180,  28, 48,  1,  1,  0.004,  1, -0.100,  0.000, -0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.440, -0.400,  0.024 
                               G05,  1,  5.160, -0.080, -0.080 
                               G12,  1, 10.880,  0.112, -0.080 
                               G21,  1,  7.400,  0.136, -0.008 
                               G23,  1,  0.080,  0.080,  0.048 
                               G25,  1,  6.360,  0.040, -0.008 
                               G26,  1,  6.760, -0.272, -0.008 
                               G29,  1,  2.880, -0.096, -0.008 
                               G31,  1,  5.640,  0.008,  0.040 
     6180,  30, 30,  1,  1,  0.004,  1, -0.092, -0.009, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.760, -0.336,  0.136 
                               G05,  1,  3.680, -0.512,  0.136 
                               G12,  1, 11.280,  0.056,  0.016 
                               G16,  1,  0.680,  0.104, -0.032 
                               G21,  1,  7.200, -0.048,  0.056 
                               G23,  1, -0.800,  0.056,  0.152 
                               G25,  1,  5.240, -0.296,  0.136 
                               G26,  1,  5.200, -0.392,  0.128 
                               G29,  1,  1.480, -0.344,  0.152 
                               G31,  1,  4.000, -0.392,  0.192 
     6180,  31, 16,  1,  1,  0.004,  1, -0.132, -0.012, -0.007 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.480, -0.264,  0.032 
                               G05,  1,  4.240, -0.344, -0.048 
                               G12,  1, 10.680, -0.064, -0.160 
                               G21,  1,  7.880,  0.152,  0.032 
                               G23,  1,  0.440,  0.072,  0.032 
                               G25,  1,  6.080, -0.168, -0.040 
                               G26,  1,  5.800, -0.344,  0.024 
                               G29,  1,  2.200, -0.296,  0.008 
                               G31,  1,  5.040, -0.360, -0.024 
     6180,  32, 21,  1,  1,  0.000,  1, -0.168, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.080, -0.040, -0.040 
                               G05,  1,  1.480, -0.464,  0.032 
                               G16,  1,  1.200,  0.008, -0.032 
                               G21,  1,  7.240, -0.048, -0.064 
                               G23,  1, -0.880,  0.096,  0.024 
                               G25,  1,  4.000, -0.280,  0.000 
                               G26,  1,  4.160, -0.144, -0.016 
                               G29,  1,  0.280, -0.192, -0.008 
                               G31,  1,  2.240, -0.336,  0.000 
     6180,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.160, -0.056,  0.056 
                               G05,  1,  1.920, -0.472,  0.072 
                               G09,  1,  6.480, -0.096, -0.024 
                               G12,  1, 11.400, -0.168, -0.128 
                               G16,  1,  0.960,  0.032, -0.040 
                               G21,  1,  7.200, -0.032,  0.048 
                               G23,  1, -0.480,  0.096,  0.088 
                               G25,  1,  4.240, -0.288,  0.064 
                               G26,  1,  4.280, -0.136,  0.056 
                               G29,  1,  0.480, -0.208,  0.056 
                               G31,  1,  2.560, -0.384,  0.072 
     6180,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.600, -0.240,  0.016 
                               G05,  1,  2.360, -0.728,  0.048 
                               G09,  1,  6.400, -0.024, -0.008 
                               G12,  1, 10.040, -0.192, -0.152 
                               G21,  1,  7.680, -0.280,  0.024 
                               G23,  1,  0.240, -0.192,  0.024 
                               G25,  1,  4.680, -0.584,  0.024 
                               G26,  1,  4.720, -0.240,  0.032 
                               G29,  1,  0.920, -0.424,  0.040 
                               G31,  1,  3.160, -0.744,  0.048 
     6180,  35, 56,  1,  1,  0.000,  1, -0.196,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.080,  0.064, -0.032 
                               G05,  1,  0.120, -0.312,  0.024 
                               G09,  1,  6.520,  0.144, -0.056 
                               G16,  1,  0.920, -0.096, -0.024 
                               G21,  1,  6.840, -0.088, -0.048 
                               G23,  1, -0.480,  0.104,  0.024 
                               G25,  1,  3.040, -0.240,  0.000 
                               G26,  1,  3.880,  0.008, -0.008 
                               G29,  1, -0.280, -0.096, -0.008 
                               G31,  1,  1.080, -0.288,  0.008 
     6180,  36, 48,  1,  1,  0.000,  1, -0.196,  0.006,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.000,  0.000,  0.016 
                               G05,  1,  0.440, -0.264,  0.032 
                               G09,  1,  6.400,  0.208,  0.008 
                               G21,  1,  6.680, -0.176,  0.024 
                               G23,  1, -0.240,  0.064,  0.032 
                               G25,  1,  3.120, -0.256,  0.016 
                               G26,  1,  4.000,  0.008,  0.032 
                               G29,  1, -0.160, -0.088,  0.032 
                               G31,  1,  1.280, -0.256,  0.032 
     6180,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120, -0.128, -0.024 
                               G05,  1,  0.720, -0.352, -0.040 
                               G09,  1,  6.520,  0.168, -0.032 
                               G12,  1,  8.920, -0.288, -0.160 
                               G21,  1,  6.760, -0.312, -0.048 
                               G23,  1, -0.040, -0.056, -0.024 
                               G25,  1,  3.240, -0.360, -0.032 
                               G26,  1,  4.320, -0.080, -0.008 
                               G29,  1,  0.120, -0.144, -0.016 
                               G31,  1,  1.560, -0.328, -0.024 
     6180,  38, 49,  1,  1,  0.000,  1, -0.188, -0.004, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120,  0.072, -0.016 
                               G05,  1,  0.080,  0.024,  0.032 
                               G09,  1,  7.200,  0.256,  0.040 
                               G21,  1,  5.960, -0.304,  0.016 
                               G23,  1,  0.480,  0.344, -0.016 
                               G25,  1,  2.600, -0.088,  0.008 
                               G26,  1,  4.520,  0.344, -0.008 
                               G29,  1, -0.240,  0.032,  0.032 
                               G31,  1,  0.920,  0.032,  0.024 
     6180,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.000,  0.008, -0.008 
                               G05,  1,  0.200,  0.008, -0.008 
                               G09,  1,  7.280,  0.384, -0.056 
                               G21,  1,  6.000, -0.240, -0.008 
                               G23,  1,  0.480,  0.360,  0.016 
                               G25,  1,  2.680, -0.048,  0.008 
                               G26,  1,  4.520,  0.216,  0.000 
                               G29,  1, -0.080,  0.024,  0.000 
                               G31,  1,  1.080,  0.016,  0.008 
     6180,  40, 24,  1,  1,  0.000,  1, -0.204, -0.006, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.160,  0.072, -0.032 
                               G05,  1,  0.120, -0.072,  0.000 
                               G09,  1,  8.040,  0.200,  0.016 
                               G21,  1,  5.320, -0.272,  0.024 
                               G23,  1,  1.280,  0.280, -0.032 
                               G25,  1,  2.400, -0.112,  0.008 
                               G26,  1,  5.440,  0.416, -0.024 
                               G29,  1, -0.120, -0.016,  0.008 
                               G31,  1,  1.080,  0.008,  0.008 
    16962,   5, 20,  1,  1,  0.012,  1, -0.172,  0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  7.000, -0.160, -0.056 
                               R12,  1,  5.040, -0.352, -0.008 
                               R21,  1,  4.360, -0.304, -0.048 
                               R22,  1,  6.440, -0.056,  0.000 
    16962,  15, 35,  1,  1,  0.012,  1, -0.120,  0.015, -0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.680, -0.136, -0.032 
                               R12,  1,  4.080, -0.296, -0.032 
                               R21,  1,  3.600, -0.296, -0.040 
                               R22,  1,  6.280, -0.176, -0.016 
    16962,  16, 24,  1,  1,  0.008,  1, -0.128,  0.009, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.320, -0.152, -0.048 
                               R12,  1,  3.840, -0.320, -0.008 
                               R20,  1,  3.280, -0.536,  0.192 
                               R21,  1,  3.280, -0.296, -0.024 
                               R22,  1,  6.080, -0.168, -0.024 
    16962,  17, 32,  1,  1,  0.008,  1, -0.124,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.920, -0.128, -0.056 
                               R12,  1,  3.840, -0.328,  0.008 
                               R20,  1,  4.520, -0.560,  0.144 
                               R21,  1,  3.240, -0.296,  0.008 
                               R22,  1,  5.880, -0.136, -0.024 
    16962,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.800, -0.176, -0.040 
                               R12,  1,  2.880, -0.296, -0.016 
                               R20,  1,  2.200, -0.424,  0.072 
                               R21,  1,  2.360, -0.288, -0.016 
                               R22,  1,  5.520, -0.168, -0.008 
    16962,  22, 56,  1,  1,  0.008,  1, -0.108,  0.002,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.560, -0.112, -0.008 
                               R12,  1,  2.920, -0.272,  0.056 
                               R20,  1,  2.960, -0.488,  0.152 
                               R21,  1,  2.400, -0.256,  0.056 
                               R22,  1,  5.440, -0.160, -0.008 
    16962,  23, 32,  1,  1,  0.008,  1, -0.108,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  4.120, -0.600,  0.072 
                               R11,  1,  5.760,  0.064,  0.032 
                               R12,  1,  3.520, -0.104,  0.048 
                               R20,  1,  4.000, -0.424,  0.072 
                               R21,  1,  2.880, -0.096,  0.032 
                               R22,  1,  5.640, -0.016,  0.040 
    16962,  26, 49,  1,  1,  0.004,  1, -0.048,  0.013, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.160, -0.200, -0.040 
                               R12,  1,  1.960, -0.256, -0.016 
                               R20,  1,  1.240, -0.280,  0.032 
                               R21,  1,  1.520, -0.248, -0.008 
                               R22,  1,  4.880, -0.248, -0.008 
    16962,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  2.000, -0.568,  0.016 
                               R11,  1,  5.280, -0.200,  0.096 
                               R12,  1,  2.360, -0.312,  0.144 
                               R20,  1,  1.920, -0.472,  0.160 
                               R21,  1,  1.880, -0.304,  0.136 
                               R22,  1,  5.040, -0.200,  0.080 
    16962,  28, 48,  1,  1,  0.004,  1, -0.100,  0.000, -0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  2.400, -0.568,  0.080 
                               R11,  1,  6.000,  0.064,  0.024 
                               R12,  1,  3.160, -0.184,  0.008 
                               R20,  1,  2.760, -0.456,  0.056 
                               R21,  1,  2.560, -0.144,  0.008 
                               R22,  1,  5.760,  0.056,  0.056 
    16962,  30, 30,  1,  1,  0.004,  1, -0.092, -0.009, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  2.200,  0.160,  0.032 
                               R05,  1,  0.720, -0.440,  0.032 
                               R11,  1,  4.960, -0.248,  0.144 
                               R12,  1,  1.760, -0.336,  0.128 
                               R13,  1,  1.640,  0.064, -0.008 
                               R20,  1,  1.120, -0.288,  0.112 
                               R21,  1,  1.240, -0.328,  0.128 
                               R22,  1,  4.640, -0.248,  0.144 
    16962,  31, 16,  1,  1,  0.004,  1, -0.132, -0.012, -0.007 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  1.080, -0.360,  0.064 
                               R11,  1,  5.960, -0.088, -0.016 
                               R12,  1,  2.320, -0.328,  0.016 
                               R20,  1,  1.760, -0.216,  0.024 
                               R21,  1,  1.840, -0.312,  0.016 
                               R22,  1,  5.880, -0.080,  0.040 
    16962,  32, 21,  1,  1,  0.000,  1, -0.168, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  2.600,  0.168,  0.032 
                               R05,  1,  0.040,  0.016, -0.056 
                               R11,  1,  3.760, -0.232,  0.008 
                               R12,  1,  0.680, -0.160, -0.008 
                               R13,  1,  1.920,  0.032, -0.008 
                               R20,  1,  0.520,  0.000, -0.016 
                               R21,  1,  0.120, -0.176,  0.000 
                               R22,  1,  3.240, -0.288,  0.024 
    16962,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  2.840,  0.208,  0.040 
                               R05,  1, -0.080,  0.024,  0.024 
                               R11,  1,  4.120, -0.248,  0.088 
                               R12,  1,  0.880, -0.152,  0.048 
                               R13,  1,  1.920,  0.088,  0.000 
                               R20,  1,  0.720, -0.024,  0.064 
                               R21,  1,  0.360, -0.176,  0.056 
                               R22,  1,  3.760, -0.296,  0.104 
    16962,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.720,  0.216,  0.104 
                               R05,  1,  0.120, -0.152, -0.008 
                               R11,  1,  4.760, -0.608,  0.032 
                               R12,  1,  1.240, -0.272,  0.032 
                               R13,  1,  2.200,  0.128,  0.040 
                               R20,  1,  1.080, -0.184,  0.000 
                               R21,  1,  0.720, -0.328,  0.032 
                               R22,  1,  4.680, -0.640,  0.064 
    16962,  35, 56,  1,  1,  0.000,  1, -0.196,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.800,  0.456,  0.040 
                               R05,  1,  0.080,  0.056, -0.048 
                               R11,  1,  2.960, -0.200,  0.008 
                               R12,  1,  0.360, -0.016, -0.008 
                               R13,  1,  2.240,  0.152,  0.024 
                               R20,  1,  0.760,  0.104, -0.024 
                               R21,  1, -0.240, -0.048,  0.000 
                               R22,  1,  2.360, -0.224,  0.024 
    16962,  36, 48,  1,  1,  0.000,  1, -0.196,  0.006,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.240,  0.536,  0.056 
                               R05,  1, -0.080,  0.008,  0.008 
                               R11,  1,  3.120, -0.232,  0.032 
                               R12,  1,  0.520, -0.016,  0.032 
                               R13,  1,  2.480,  0.208,  0.032 
                               R20,  1,  0.680,  0.040,  0.016 
                               R21,  1, -0.080, -0.040,  0.032 
                               R22,  1,  2.720, -0.216,  0.056 
    16962,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.080,  0.712,  0.080 
                               R05,  1, -0.160, -0.040, -0.048 
                               R11,  1,  3.280, -0.360, -0.040 
                               R12,  1,  0.800, -0.072, -0.008 
                               R13,  1,  2.720,  0.176,  0.024 
                               R20,  1,  0.760, -0.072, -0.032 
                               R21,  1,  0.160, -0.080, -0.024 
                               R22,  1,  3.160, -0.376, -0.016 
    16962,  38, 49,  1,  1,  0.000,  1, -0.188, -0.004, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.120, -0.024,  0.192 
                               R05,  1,  0.080,  0.088, -0.024 
                               R11,  1,  2.600, -0.088,  0.016 
                               R12,  1,  0.800,  0.184,  0.008 
                               R13,  1,  3.520,  0.432,  0.008 
                               R20,  1,  1.040,  0.192, -0.032 
                               R21,  1,  0.000,  0.096,  0.024 
                               R22,  1,  2.320,  0.008,  0.032 
    16962,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  6.280,  0.064,  0.040 
                               R05,  1, -0.080,  0.048, -0.016 
                               R11,  1,  2.720, -0.064,  0.008 
                               R12,  1,  0.880,  0.112,  0.000 
                               R13,  1,  3.560,  0.376, -0.016 
                               R20,  1,  0.840,  0.048, -0.016 
                               R21,  1,  0.200,  0.080,  0.000 
                               R22,  1,  2.600, -0.008,  0.016 
    16962,  40, 24,  1,  1,  0.000,  1, -0.204, -0.006, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.960, -0.680,  0.136 
                               R05,  1,  0.200,  0.080, -0.032 
                               R11,  1,  2.440, -0.088,  0.016 
                               R12,  1,  1.240,  0.160, -0.008 
                               R13,  1,  4.600,  0.376, -0.032 
                               R20,  1,  1.360,  0.208, -0.048 
                               R21,  1,  0.320,  0.048,  0.016 
                               R22,  1,  2.440, -0.048,  0.024 
309750185,   5, 20,  1,  1,  0.012,  1, -0.172,  0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  4.240, -0.360,  0.080 
                               G05,  1,  7.480, -0.232, -0.072 
                               G21,  1,  7.080,  0.152, -0.016 
                               G25,  1,  7.360, -0.064, -0.096 
                               G26,  1,  8.440, -0.336, -0.056 
                               G29,  1,  3.920, -0.224, -0.056 
                               G31,  1,  6.200, -0.160, -0.024 
309750185,  15, 35,  1,  1,  0.012,  1, -0.120,  0.015, -0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.080, -0.344,  0.016 
                               G05,  1,  6.840, -0.288, -0.032 
                               G21,  1,  7.760,  0.144, -0.088 
                               G25,  1,  7.320, -0.152, -0.088 
                               G26,  1,  7.600, -0.312, -0.048 
                               G29,  1,  3.360, -0.224, -0.056 
                               G31,  1,  5.720, -0.200, -0.016 
309750185,  16, 24,  1,  1,  0.008,  1, -0.128,  0.009, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.280, -0.440,  0.056 
                               G05,  1,  6.400, -0.240, -0.072 
                               G21,  1,  7.240,  0.056, -0.072 
                               G25,  1,  6.760, -0.128, -0.072 
                               G26,  1,  7.400, -0.312,  0.016 
                               G29,  1,  3.080, -0.216, -0.024 
                               G31,  1,  5.560, -0.168, -0.016 
309750185,  17, 32,  1,  1,  0.008,  1, -0.124,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.880, -0.536,  0.088 
                               G05,  1,  5.800, -0.192, -0.072 
                               G12,  1, 10.320, -0.104, -0.040 
                               G21,  1,  6.960,  0.048, -0.016 
                               G25,  1,  6.240, -0.096, -0.064 
                               G26,  1,  7.600, -0.376,  0.032 
                               G29,  1,  3.080, -0.240,  0.016 
                               G31,  1,  5.480, -0.168, -0.008 
309750185,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.960, -0.408,  0.040 
                               G05,  1,  5.480, -0.320, -0.056 
                               G21,  1,  7.400,  0.048, -0.056 
                               G23,  1, -2.360,  0.224,  0.056 
                               G25,  1,  6.280, -0.152, -0.064 
                               G26,  1,  6.400, -0.312, -0.008 
                               G29,  1,  2.360, -0.232, -0.024 
                               G31,  1,  4.920, -0.224, -0.008 
309750185,  22, 56,  1,  1,  0.008,  1, -0.108,  0.002,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.440, -0.416,  0.136 
                               G05,  1,  5.200, -0.224,  0.000 
                               G12,  1, 10.360,  0.200,  0.040 
                               G21,  1,  7.120,  0.032, -0.008 
                               G23,  1, -1.960,  0.120,  0.016 
                               G25,  1,  5.960, -0.104, -0.008 
                               G26,  1,  6.560, -0.304,  0.088 
                               G29,  1,  2.400, -0.200,  0.080 
                               G31,  1,  4.960, -0.192,  0.040 
309750185,  23, 32,  1,  1,  0.008,  1, -0.108,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.440, -0.288,  0.064 
                               G05,  1,  5.240,  0.040, -0.032 
                               G12,  1, 10.400,  0.208, -0.008 
                               G21,  1,  7.040,  0.088, -0.024 
                               G25,  1,  6.120,  0.080,  0.024 
                               G26,  1,  7.320, -0.120,  0.064 
                               G29,  1,  3.000, -0.024,  0.032 
                               G31,  1,  5.480,  0.032,  0.056 
309750185,  26, 49,  1,  1,  0.004,  1, -0.048,  0.013, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.920, -0.304,  0.000 
                               G05,  1,  4.280, -0.408, -0.008 
                               G21,  1,  7.320, -0.024, -0.048 
                               G23,  1, -1.640,  0.168,  0.008 
                               G25,  1,  5.560, -0.216, -0.040 
                               G26,  1,  5.440, -0.280, -0.016 
                               G29,  1,  1.600, -0.224, -0.008 
                               G31,  1,  4.160, -0.264,  0.000 
309750185,  27, 56,  1,  1,  0.004,  1, -0.088,  0.010, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.520, -0.472,  0.192 
                               G05,  1,  4.600, -0.384,  0.136 
                               G12,  1, 10.800,  0.136,  0.112 
                               G21,  1,  7.160, -0.024,  0.032 
                               G23,  1, -1.360,  0.056,  0.112 
                               G25,  1,  5.680, -0.216,  0.104 
                               G26,  1,  5.920, -0.360,  0.184 
                               G29,  1,  2.040, -0.296,  0.168 
                               G31,  1,  4.560, -0.296,  0.160 
309750185,  28, 48,  1,  1,  0.004,  1, -0.100,  0.000, -0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.440, -0.400,  0.024 
                               G05,  1,  5.160, -0.080, -0.080 
                               G12,  1, 10.880,  0.112, -0.080 
                               G21,  1,  7.400,  0.136, -0.008 
                               G23,  1,  0.080,  0.080,  0.048 
                               G25,  1,  6.360,  0.040, -0.008 
                               G26,  1,  6.760, -0.272, -0.008 
                               G29,  1,  2.880, -0.096, -0.008 
                               G31,  1,  5.640,  0.008,  0.040 
309750185,  30, 30,  1,  1,  0.004,  1, -0.092, -0.009, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.760, -0.336,  0.136 
                               G05,  1,  3.680, -0.512,  0.136 
                               G12,  1, 11.280,  0.056,  0.016 
                               G16,  1,  0.680,  0.104, -0.032 
                               G21,  1,  7.200, -0.048,  0.056 
                               G23,  1, -0.800,  0.056,  0.152 
                               G25,  1,  5.240, -0.296,  0.136 
                               G26,  1,  5.200, -0.392,  0.128 
                               G29,  1,  1.480, -0.344,  0.152 
                               G31,  1,  4.000, -0.392,  0.192 
309750185,  31, 16,  1,  1,  0.004,  1, -0.132, -0.012, -0.007 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.480, -0.264,  0.032 
                               G05,  1,  4.240, -0.344, -0.048 
                               G12,  1, 10.680, -0.064, -0.160 
                               G21,  1,  7.880,  0.152,  0.032 
                               G23,  1,  0.440,  0.072,  0.032 
                               G25,  1,  6.080, -0.168, -0.040 
                               G26,  1,  5.800, -0.344,  0.024 
                               G29,  1,  2.200, -0.296,  0.008 
                               G31,  1,  5.040, -0.360, -0.024 
309750185,  32, 21,  1,  1,  0.000,  1, -0.168, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.080, -0.040, -0.040 
                               G05,  1,  1.480, -0.464,  0.032 
                               G16,  1,  1.200,  0.008, -0.032 
                               G21,  1,  7.240, -0.048, -0.064 
                               G23,  1, -0.880,  0.096,  0.024 
                               G25,  1,  4.000, -0.280,  0.000 
                               G26,  1,  4.160, -0.144, -0.016 
                               G29,  1,  0.280, -0.192, -0.008 
                               G31,  1,  2.240, -0.336,  0.000 
309750185,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.160, -0.056,  0.056 
                               G05,  1,  1.920, -0.472,  0.072 
                               G09,  1,  6.480, -0.096, -0.024 
                               G12,  1, 11.400, -0.168, -0.128 
                               G16,  1,  0.960,  0.032, -0.040 
                               G21,  1,  7.200, -0.032,  0.048 
                               G23,  1, -0.480,  0.096,  0.088 
                               G25,  1,  4.240, -0.288,  0.064 
                               G26,  1,  4.280, -0.136,  0.056 
                               G29,  1,  0.480, -0.208,  0.056 
                               G31,  1,  2.560, -0.384,  0.072 
309750185,  34, 28,  1,  1,  0.000,  1, -0.184, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.600, -0.240,  0.016 
                               G05,  1,  2.360, -0.728,  0.048 
                               G09,  1,  6.400, -0.024, -0.008 
                               G12,  1, 10.040, -0.192, -0.152 
                               G21,  1,  7.680, -0.280,  0.024 
                               G23,  1,  0.240, -0.192,  0.024 
                               G25,  1,  4.680, -0.584,  0.024 
                               G26,  1,  4.720, -0.240,  0.032 
                               G29,  1,  0.920, -0.424,  0.040 
                               G31,  1,  3.160, -0.744,  0.048 
309750185,  35, 56,  1,  1,  0.000,  1, -0.196,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.080,  0.064, -0.032 
                               G05,  1,  0.120, -0.312,  0.024 
                               G09,  1,  6.520,  0.144, -0.056 
                               G16,  1,  0.920, -0.096, -0.024 
                               G21,  1,  6.840, -0.088, -0.048 
                               G23,  1, -0.480,  0.104,  0.024 
                               G25,  1,  3.040, -0.240,  0.000 
                               G26,  1,  3.880,  0.008, -0.008 
                               G29,  1, -0.280, -0.096, -0.008 
                               G31,  1,  1.080, -0.288,  0.008 
309750185,  36, 48,  1,  1,  0.000,  1, -0.196,  0.006,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.000,  0.000,  0.016 
                               G05,  1,  0.440, -0.264,  0.032 
                               G09,  1,  6.400,  0.208,  0.008 
                               G21,  1,  6.680, -0.176,  0.024 
                               G23,  1, -0.240,  0.064,  0.032 
                               G25,  1,  3.120, -0.256,  0.016 
                               G26,  1,  4.000,  0.008,  0.032 
                               G29,  1, -0.160, -0.088,  0.032 
                               G31,  1,  1.280, -0.256,  0.032 
309750185,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120, -0.128, -0.024 
                               G05,  1,  0.720, -0.352, -0.040 
                               G09,  1,  6.520,  0.168, -0.032 
                               G12,  1,  8.920, -0.288, -0.160 
                               G21,  1,  6.760, -0.312, -0.048 
                               G23,  1, -0.040, -0.056, -0.024 
                               G25,  1,  3.240, -0.360, -0.032 
                               G26,  1,  4.320, -0.080, -0.008 
                               G29,  1,  0.120, -0.144, -0.016 
                               G31,  1,  1.560, -0.328, -0.024 
309750185,  38, 49,  1,  1,  0.000,  1, -0.188, -0.004, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120,  0.072, -0.016 
                               G05,  1,  0.080,  0.024,  0.032 
                               G09,  1,  7.200,  0.256,  0.040 
                               G21,  1,  5.960, -0.304,  0.016 
                               G23,  1,  0.480,  0.344, -0.016 
                               G25,  1,  2.600, -0.088,  0.008 
                               G26,  1,  4.520,  0.344, -0.008 
                               G29,  1, -0.240,  0.032,  0.032 
                               G31,  1,  0.920,  0.032,  0.024 
309750185,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.000,  0.008, -0.008 
                               G05,  1,  0.200,  0.008, -0.008 
                               G09,  1,  7.280,  0.384, -0.056 
                               G21,  1,  6.000, -0.240, -0.008 
                               G23,  1,  0.480,  0.360,  0.016 
                               G25,  1,  2.680, -0.048,  0.008 
                               G26,  1,  4.520,  0.216,  0.000 
                               G29,  1, -0.080,  0.024,  0.000 
                               G31,  1,  1.080,  0.016,  0.008 
309750185,  40, 24,  1,  1,  0.000,  1, -0.204, -0.006, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.160,  0.072, -0.032 
                               G05,  1,  0.120, -0.072,  0.000 
                               G09,  1,  8.040,  0.200,  0.016 
                               G21,  1,  5.320, -0.272,  0.024 
                               G23,  1,  1.280,  0.280, -0.032 
                               G25,  1,  2.400, -0.112,  0.008 
